business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
94710,People's Bistro,1419 Haight  St,San Francisco,CA,94117,,,,,94710_20190617,06/17/2019 12:00:00 AM,70,Routine - Unscheduled,94710_20190617_103154,Unclean or degraded floors walls or ceilings,Low Risk,,,,,
90514,Le Marais Bakery Castro,498 Sanchez St,San Francisco,CA,94114,,,,,90514_20170614,06/14/2017 12:00:00 AM,,New Construction,,,,,,,,
59826,JANNAH,1775 FULTON St,San Francisco,CA,94117,37.775813,-122.446047,POINT (-122.446047 37.775813),,59826_20180622,06/22/2018 12:00:00 AM,,Non-inspection site visit,,,,24,24,7,11,18
99224,"KISS MY SEOUL, LLC",1080 HOWARD ST,San Francisco,CA,94103,,,,14156828999,99224_20190125,01/25/2019 12:00:00 AM,,New Ownership,99224_20190125_103154,Unclean or degraded floors walls or ceilings,Low Risk,,,,,
19170,Vino Rosso,629 Cortland Ave,San Francisco,CA,94110,37.739041,-122.415636,POINT (-122.415636 37.739041),14155641278,19170_20180314,03/14/2018 12:00:00 AM,100,Routine - Unscheduled,,,,83,83,9,2,2
59727,Luigi's Pizzeria,Pier 39  Space 211-212,San Francisco,CA,94133,37.80824,-122.410189,POINT (-122.410189 37.80824),,59727_20180123,01/23/2018 12:00:00 AM,,Reinspection/Followup,,,,99,99,6,3,23
72046,Palmer's,2298 Fillmore St,San Francisco,CA,94115,,,,,72046_20190530,05/30/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
1542,I LUV TERIYAKI AND SUSHI,270 Potrero Ave,San Francisco,CA,94103,37.766293,-122.407671,POINT (-122.407671 37.766293),14155432005,1542_20170717,07/17/2017 12:00:00 AM,,Reinspection/Followup,,,,53,53,3,9,20
84892,Denny's Restaurant,816 Mission St,San Francisco,CA,94103,,,,,84892_20180523,05/23/2018 12:00:00 AM,,Non-inspection site visit,,,,,,,,
1664,PANDA EXPRESS,865 MARKET St C24,San Francisco,CA,94103,37.784317,-122.407563,POINT (-122.407563 37.784317),14155249775,1664_20170304,03-04-2017 00:00,,Complaint,,,,32,32,5,10,34
2849,Kells,530 Jackson St,San Francisco,CA,94133,37.796378,-122.404024,POINT (-122.404024 37.796378),,2849_20190506,05-06-2019 00:00,,Reinspection/Followup,,,,106,106,6,3,6
95754,Fools Errand,639 Divisadero St A,San Francisco,CA,94117,,,,,95754_20190327,03/27/2019 12:00:00 AM,84,Routine - Unscheduled,95754_20190327_103131,Moderate risk vermin infestation,Moderate Risk,,,,,
101104,Big Nate BBQ South 200,1 Warriors Way  Level 300 South,San Francisco,CA,94158,,,,,101104_20190807,08-07-2019 00:00,,New Ownership,,,,,,,,
90093,"Berber Group, LLC",1516 Broadway St,San Francisco,CA,94109,,,,14155601006,90093_20170119,01/19/2017 12:00:00 AM,,New Ownership,,,,,,,,
5006,LA MEJOR BAKERY,3329 24th St,San Francisco,CA,94110,37.752156,-122.41916,POINT (-122.41916 37.752156),14155720251,5006_20180302,03-02-2018 00:00,,Reinspection/Followup,,,,53,53,3,2,20
100219,NAYA CAFE,5338 geary BLVD,San Francisco,CA,94121,,,,14155995527,100219_20190618,06/18/2019 12:00:00 AM,91,Routine - Unscheduled,100219_20190618_103103,High risk food holding temperature,High Risk,,,,,
93073,Kaisen Don,1939 Ocean Ave,San Francisco,CA,94127,,,,,93073_20171016,10/16/2017 12:00:00 AM,,New Construction,,,,,,,,
94605,U Dessert Story,3489 16th St,San Francisco,CA,94114,,,,,94605_20190205,02-05-2019 00:00,92,Routine - Unscheduled,94605_20190205_103144,Unapproved or unmaintained equipment or utensils,Low Risk,,,,,
100716,AL'S DELI,598 GUERRERO ST,San Francisco,CA,94110,,,,,100716_20190528,05/28/2019 12:00:00 AM,,New Construction,,,,,,,,
70797,Cafe Du Soleil,345 03rd St,San Francisco,CA,94107,,,,,70797_20180503,05-03-2018 00:00,,Reinspection/Followup,,,,,,,,
94971,94971 Gilroy Garlic Stand,24 Willie Mays Pl View Lvl Sect 331,San Francisco,CA,,,,,,94971_20180316,03/16/2018 12:00:00 AM,,New Ownership,,,,,,,,
4449,Universal Bakery Inc.,3458 MISSION St,San Francisco,CA,94110,37.741317,-122.422687,POINT (-122.422687 37.741317),,4449_20190913,09/13/2019 12:00:00 AM,,Reinspection/Followup,,,,83,83,9,2,2
99740,PLAIN JANE,1000 Guerrero St,San Francisco,CA,94110,,,,14155208532,99740_20190318,03/18/2019 12:00:00 AM,,New Ownership - Followup,,,,,,,,
93536,Nook,1500 Hyde St,San Francisco,CA,94109,,,,14155978012,93536_20171208,12-08-2017 00:00,,New Ownership,,,,,,,,
82416,Pupuseria Metapan,4769 Mission St,San Francisco,CA,94112,,,,,82416_20180510,05-10-2018 00:00,,Reinspection/Followup,,,,,,,,
60354,Taqueria Castillo B,10 Mason St,San Francisco,CA,94102,37.783527,-122.409061,POINT (-122.409061 37.783527),,60354_20161128,11/28/2016 12:00:00 AM,,Reinspection/Followup,,,,19,19,5,10,36
665,BRAZEN HEAD RESTAURANT,3166 Buchanan St,San Francisco,CA,94123,37.799218,-122.432517,POINT (-122.432517 37.799218),,665_20171207,12-07-2017 00:00,,Reinspection/Followup,,,,15,15,4,6,13
3522,Bow Hon Restaurant,850 Grant Ave,San Francisco,CA,94108,37.794958,-122.406367,POINT (-122.406367 37.794958),,3522_20190109,01-09-2019 00:00,,Reinspection/Followup,,,,104,104,6,3,6
92201,San Francisco Proper Hotel,1100 Market St 1st Floor,San Francisco,CA,94102,,,,,92201_20170630,06/30/2017 12:00:00 AM,,New Construction,,,,,,,,
96532,THE CLIFT ROYAL SONESTA HOTEL,495 GEARY ST,San Francisco,CA,94102,,,,,96532_20190411,04-11-2019 00:00,92,Routine - Unscheduled,96532_20190411_103144,Unapproved or unmaintained equipment or utensils,Low Risk,,,,,
91078,"BlueStar Refreshment Services @ Uber Technologies, Inc","555 Market St, Floors 15, 16, 17",San Francisco,CA,94105,,,,,91078_20171220,12/20/2017 12:00:00 AM,100,Routine - Unscheduled,,,,,,,,
97503,Moscone South Main Kitchen,747 Howard St,San Francisco,CA,94103,,,,,97503_20190610,06-10-2019 00:00,92,Routine - Unscheduled,97503_20190610_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,,,,,
99058,THAI NGHIEP KY MI GIA RESTAURANT,1427 NORIEGA ST,San Francisco,CA,94122,,,,14155688528,99058_20190118,01/18/2019 12:00:00 AM,,New Ownership,99058_20190118_103102,Unclean hands or improper use of gloves,High Risk,,,,,
96202,Soma Eats 2,121 Spear St,San Francisco,CA,94105,,,,,96202_20180822,08/22/2018 12:00:00 AM,,New Construction,,,,,,,,
70064,Gracias Madre,2211 Mission St,San Francisco,CA,94103,,,,14155654366,70064_20180720,07/20/2018 12:00:00 AM,,Reinspection/Followup,,,,,,,,
79528,Tuyet Mai,547 Hyde St,San Francisco,CA,94109,,,,14155749684,79528_20190927,09/27/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
3019,Tad's,120 Powell St,San Francisco,CA,94102,37.785928,-122.407887,POINT (-122.407887 37.785928),,3019_20190709,07-09-2019 00:00,,Reinspection/Followup,,,,19,19,6,3,8
5787,LAWTON ELEMENTARY SCHOOL,1570 31st Ave,San Francisco,CA,94122,37.758013,-122.489596,POINT (-122.489596 37.758013),,5787_20170223,02/23/2017 12:00:00 AM,100,Routine - Unscheduled,,,,39,39,10,7,35
92338,Museum of Ice Cream,1 Grant Ave,San Francisco,CA,94108,,,,,92338_20170823,08/23/2017 12:00:00 AM,,New Construction,,,,,,,,
69194,Grandma's Deli & Cafe,1551 Mission St,San Francisco,CA,94103,,,,,69194_20190513,05/13/2019 12:00:00 AM,,Reinspection/Followup,,,,,,,,
96202,Soma Eats 2,121 Spear St,San Francisco,CA,94105,,,,,96202_20190408,04-08-2019 00:00,85,Routine - Unscheduled,96202_20190408_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,,,,,
65396,Carmelina's Cafe,1855 Folsom St,San Francisco,CA,94103,37.767664,-122.415456,POINT (-122.415456 37.767664),,65396_20170127,01/27/2017 12:00:00 AM,,Reinspection/Followup,,,,53,53,3,2,20
64835,Jane,2123 Fillmore St,San Francisco,CA,94115,37.789404,-122.433954,POINT (-122.433954 37.789404),,64835_20161205,12-05-2016 00:00,,Reinspection/Followup,,,,102,102,4,6,30
1000,HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,37.755282,-122.420493,POINT (-122.420493 37.755282),,1000_20180608,06-08-2018 00:00,,Reinspection/Followup,,,,53,53,3,2,20
27821,Duboce Park Cafe,2 Sanchez St,San Francisco,CA,94114,37.769305,-122.431407,POINT (-122.431407 37.769305),,27821_20180720,07/20/2018 12:00:00 AM,,Reinspection/Followup,,,,28,28,7,5,5
72176,Wolfes Lunch,1220 16th St,San Francisco,CA,94107,,,,,72176_20170207,02-07-2017 00:00,66,Routine - Unscheduled,72176_20170207_103105,Improper cooling methods,High Risk,,,,,
74010,Miraloma Market,755 Portola Dr,San Francisco,CA,94127,,,,14155682474,74010_20180720,07/20/2018 12:00:00 AM,74,Routine - Unscheduled,74010_20180720_103105,Improper cooling methods,High Risk,,,,,
74453,Tacos Club,2312 Market St,San Francisco,CA,94114,,,,,74453_20180606,06-06-2018 00:00,83,Routine - Unscheduled,74453_20180606_103103,High risk food holding temperature,High Risk,,,,,
75402,Champa Garden,613 Faxon Ave,San Francisco,CA,94112,,,,14155344186,75402_20180724,07/24/2018 12:00:00 AM,92,Routine - Unscheduled,75402_20180724_103161,Low risk vermin infestation,Low Risk,,,,,
76465,Firetrail Pizza,428 11th St,San Francisco,CA,94103,,,,,76465_20170530,05/30/2017 12:00:00 AM,94,Routine - Unscheduled,76465_20170530_103134,Other moderate risk violation,Moderate Risk,,,,,
76942,Dumpling Kitchen,1935 Taraval St,San Francisco,CA,94116,,,,14155688938,76942_20170810,08-10-2017 00:00,71,Routine - Unscheduled,76942_20170810_103108,Contaminated or adulterated food,High Risk,,,,,
77457,City Smoke House LLC,35 06th St,San Francisco,CA,94103,,,,,77457_20170517,05/17/2017 12:00:00 AM,92,Routine - Unscheduled,77457_20170517_103139,Improper food storage,Low Risk,,,,,
77850,Blue Fin Sushi & Lounge,1814 Clement St,San Francisco,CA,94121,,,,,77850_20171218,12/18/2017 12:00:00 AM,,Reinspection/Followup,77850_20171218_103109,Unclean or unsanitary food contact surfaces,High Risk,,,,,
78019,North India Restaurant,123 02nd St,San Francisco,CA,94105,,,,,78019_20170721,07/21/2017 12:00:00 AM,87,Routine - Unscheduled,78019_20170721_103105,Improper cooling methods,High Risk,,,,,
78207,Schroeder's,240 Front St,San Francisco,CA,94111,,,,,78207_20190827,08/27/2019 12:00:00 AM,83,Routine - Unscheduled,78207_20190827_103103,High risk food holding temperature,High Risk,,,,,
78698,Pakwan Restaurant,3180 16th St,San Francisco,CA,94103,,,,14155252440,78698_20180109,01-09-2018 00:00,,Complaint,78698_20180109_103105,Improper cooling methods,High Risk,,,,,
78779,Pakwan Restaurant,501 O'Farrell St,San Francisco,CA,94102,,,,,78779_20190227,02/27/2019 12:00:00 AM,76,Routine - Unscheduled,78779_20190227_103133,Foods not protected from contamination,Moderate Risk,,,,,
79050,Restaurante Montecristo,3723 Mission St,San Francisco,CA,94110,,,,,79050_20161019,10/19/2016 12:00:00 AM,90,Routine - Unscheduled,79050_20161019_103142,Unclean nonfood contact surfaces,Low Risk,,,,,
79069,Lush Gelato,1817 Polk St,San Francisco,CA,94109,,,,,79069_20170821,08/21/2017 12:00:00 AM,92,Routine - Unscheduled,79069_20170821_103142,Unclean nonfood contact surfaces,Low Risk,,,,,
79334,Southside Spirit House,575 Howard St,San Francisco,CA,94105,,,,,79334_20170321,03/21/2017 12:00:00 AM,87,Routine - Unscheduled,79334_20170321_103139,Improper food storage,Low Risk,,,,,
80253,Raavi,533 Jackson St,San Francisco,CA,94133,,,,,80253_20170110,01-10-2017 00:00,76,Routine - Unscheduled,80253_20170110_103139,Improper food storage,Low Risk,,,,,
3649,SAFEWAY #1490,2300 16th St,San Francisco,CA,94103,37.765708,-122.409002,POINT (-122.409002 37.765708),14155571120,3649_20171206,12-06-2017 00:00,82,Routine - Unscheduled,3649_20171206_103131,Moderate risk vermin infestation,Moderate Risk,53,53,3,9,20
2929,Academy of Arts University,1055 Pine St,San Francisco,CA,94109,37.790523,-122.413158,POINT (-122.413158 37.790523),,2929_20180604,06-04-2018 00:00,98,Routine - Unscheduled,2929_20180604_103142,Unclean nonfood contact surfaces,Low Risk,50,50,6,3,21
64843,Palmyra,700 HAIGHT St,San Francisco,CA,94117,37.771698,-122.433903,POINT (-122.433903 37.771698),,64843_20180522,05/22/2018 12:00:00 AM,,Reinspection/Followup,64843_20180522_103154,Unclean or degraded floors walls or ceilings,Low Risk,26,26,4,11,3
3025,PEKING RESTAURANT,1375 NORIEGA St,San Francisco,CA,94122,37.754086,-122.47835,POINT (-122.47835 37.754086),,3025_20180314,03/14/2018 12:00:00 AM,88,Routine - Unscheduled,3025_20180314_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,39,39,10,7,35
2334,LA PAZ RESTAURANT,1028 POTRERO Ave,San Francisco,CA,94110,37.755693,-122.40665,POINT (-122.40665 37.755693),,2334_20171128,11/28/2017 12:00:00 AM,88,Routine - Unscheduled,2334_20171128_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,53,53,3,2,20
37350,Press Club,20 Yerba Buena Ln,San Francisco,CA,94103,37.785386,-122.403723,POINT (-122.403723 37.785386),,37350_20190412,04-12-2019 00:00,94,Routine - Unscheduled,37350_20190412_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,32,32,5,10,8
99,J & M A-1 CAFE RESTAURANT LLC,779 Clay St,San Francisco,CA,94108,37.794293,-122.405967,POINT (-122.405967 37.794293),,99_20180808,08-08-2018 00:00,84,Routine - Unscheduled,99_20180808_103148,No thermometers or uncalibrated thermometers,Low Risk,104,104,6,3,6
19076,Star India Restaurant,3721 GEARY Blvd,San Francisco,CA,94118,37.781153,-122.45936,POINT (-122.45936 37.781153),,19076_20181022,10/22/2018 12:00:00 AM,85,Routine - Unscheduled,19076_20181022_103109,Unclean or unsanitary food contact surfaces,High Risk,5,5,8,4,11
247,Toy Boat Dessert Cafe,401 Clement St,San Francisco,CA,94118,37.782953,-122.46351,POINT (-122.46351 37.782953),,247_20161114,11/14/2016 12:00:00 AM,86,Routine - Unscheduled,247_20161114_103131,Moderate risk vermin infestation,Moderate Risk,5,5,8,4,11
184,RADIO HABANA,1109 VALENCIA St,San Francisco,CA,94110,37.755124,-122.420916,POINT (-122.420916 37.755124),14155827659,184_20180213,02/13/2018 12:00:00 AM,90,Routine - Unscheduled,184_20180213_103129,Insufficient hot water or running water,Moderate Risk,53,53,3,2,20
3594,CELIAS RESTAURANT,4019 JUDAH St,San Francisco,CA,94122,37.760423,-122.505209,POINT (-122.505209 37.760423),,3594_20180621,06/21/2018 12:00:00 AM,90,Routine - Unscheduled,3594_20180621_103139,Improper food storage,Low Risk,39,39,10,7,35
19094,Rigolo,3465 California St,San Francisco,CA,94118,37.786663,-122.451147,POINT (-122.451147 37.786663),,19094_20180222,02/22/2018 12:00:00 AM,90,Routine - Unscheduled,19094_20180222_103124,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,11,11,8,6,31
1154,SUNFLOWER RESTAURANT,506 Valencia St,San Francisco,CA,94103,37.764678,-122.421905,POINT (-122.421905 37.764678),14155625023,1154_20190327,03/27/2019 12:00:00 AM,46,Routine - Unscheduled,1154_20190327_103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,37,37,3,5,20
1636,AXUM,698 Haight St,San Francisco,CA,94117,37.771738,-122.433583,POINT (-122.433583 37.771738),14155257912,1636_20181003,10-03-2018 00:00,88,Routine - Unscheduled,1636_20181003_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,26,26,4,11,3
36758,UVA Enoteca,568 Haight St,San Francisco,CA,94117,37.771988,-122.431564,POINT (-122.431564 37.771988),,36758_20181003,10-03-2018 00:00,89,Routine - Unscheduled,36758_20181003_103120,Moderate risk food holding temperature,Moderate Risk,26,26,4,11,9
2926,Luques Restaurant & Bar,433 Powell St,San Francisco,CA,94102,37.788673,-122.408524,POINT (-122.408524 37.788673),,2926_20170316,03/16/2017 12:00:00 AM,82,Routine - Unscheduled,2926_20170316_103139,Improper food storage,Low Risk,19,19,6,3,21
39481,Mateo's Bay Area Hot Dogs,833 Bryant St,San Francisco,CA,,,,,14155889291,39481_20181019,10/19/2018 12:00:00 AM,71,Routine - Unscheduled,39481_20181019_103172,Mobile food facility with unapproved operating conditions,High Risk,,,,,
80361,Tadu Ethiopian Kitchen,484 Ellis St,San Francisco,CA,,,,,14150284906,80361_20180305,03-05-2018 00:00,94,Routine - Unscheduled,80361_20180305_103139,Improper food storage,Low Risk,,,,,
80493,Mythic Pizza,551 Haight St,San Francisco,CA,94117,,,,14155861999,80493_20180807,08-07-2018 00:00,,Complaint,80493_20180807_103103,High risk food holding temperature,High Risk,,,,,
81317,El Buen Comer,3435 Mission St,San Francisco,CA,,,,,14155758652,81317_20190730,07/30/2019 12:00:00 AM,81,Routine - Unscheduled,81317_20190730_103105,Improper cooling methods,High Risk,,,,,
81839,Vietnam House,642 Eddy St,San Francisco,CA,94109,,,,,81839_20170222,02/22/2017 12:00:00 AM,75,Routine - Unscheduled,81839_20170222_103132,Improper thawing methods,Moderate Risk,,,,,
81894,Tycoon Cafe & Restaurant,620 O'Farrell St,San Francisco,CA,94109,,,,,81894_20170724,07/24/2017 12:00:00 AM,,Reinspection/Followup,81894_20170724_103114,High risk vermin infestation,High Risk,,,,,
82048,Proper Food,100 Montgomery St #116,San Francisco,CA,94104,,,,,82048_20190318,03/18/2019 12:00:00 AM,92,Routine - Unscheduled,82048_20190318_103156,Permit license or inspection report not posted,Low Risk,,,,,
